logged_at,esp_millis,latency_ms,jitter_ms,loss_percent,throughput_mbps,rssi_dbm
2026-08-07T13:42:13,407655,3.65,1.92,0.0,2.89,-31
2026-08-07T13:42:34,428154,2.81,0.84,0.0,2.7,-19
2026-08-07T13:42:51,445891,2.57,1.08,0.0,3.32,-35
2026-08-07T13:43:08,462319,2.84,0.66,0.0,3.72,-40
2026-08-07T13:43:24,478902,2.72,0.8,0.0,3.66,-30
2026-08-07T13:43:44,498553,3.61,2.39,0.0,2.87,-31
2026-08-07T13:44:01,515725,5.55,6.55,0.0,3.5,-30
2026-08-07T13:44:18,532224,3.19,1.59,0.0,3.68,-37
2026-08-07T13:44:34,548862,2.87,0.96,0.0,3.65,-40
2026-08-07T13:44:52,566358,3.67,1.26,0.0,3.4,-19
2026-08-07T13:45:16,590262,3.04,1.39,0.0,2.19,-26
2026-08-07T13:45:39,613703,3.27,1.69,0.0,2.25,-35
2026-08-07T13:45:56,630309,3.37,2.02,0.0,3.64,-33
2026-08-07T13:46:17,651193,2.85,0.87,0.0,2.62,-37
2026-08-07T13:46:33,667807,7.25,8.01,0.0,3.66,-48
2026-08-07T13:46:52,686525,3.41,1.72,0.0,3.06,-33
2026-08-07T13:47:10,704899,2.6,0.48,0.0,3.14,-30
2026-08-07T13:47:27,721635,3.11,1.62,0.0,3.6,-25
2026-08-07T13:47:44,738353,3.05,0.86,0.0,3.63,-46
2026-08-07T13:48:01,755511,3.51,2.33,0.0,3.51,-34
2026-08-07T13:48:20,774462,3.0,1.37,0.0,3.0,-47
2026-08-07T13:48:37,791407,2.88,1.12,0.0,3.53,-40
2026-08-07T13:48:54,808159,2.8,0.91,0.0,3.6,-42
2026-08-07T13:49:12,826500,3.07,1.06,0.0,3.15,-39
2026-08-07T13:49:29,843585,3.05,1.36,0.0,3.49,-44
2026-08-07T13:49:46,860933,2.72,0.87,0.0,3.41,-42
2026-08-07T13:50:04,878092,2.76,0.6,0.0,3.47,-35
2026-08-07T13:50:31,905394,5.45,6.92,0.0,1.85,-30
2026-08-07T13:50:53,927413,2.95,1.28,0.0,2.44,-42
2026-08-07T13:51:10,944472,2.96,0.79,0.0,3.5,-41
2026-08-07T13:51:27,961532,3.74,1.4,0.0,3.5,-42
2026-08-07T13:51:44,978353,2.61,0.51,0.0,3.57,-50
2026-08-07T13:52:01,995225,3.11,1.37,0.0,3.56,-45
2026-08-07T13:52:18,1012015,3.78,1.17,0.0,3.59,-47
2026-08-07T13:52:37,1030985,2.63,0.69,0.0,3.0,-37
2026-08-07T13:52:58,1052095,2.32,0.62,0.0,2.6,-38
2026-08-07T13:53:16,1070771,2.39,0.22,0.0,3.08,-36
2026-08-07T13:53:35,1089508,2.99,1.07,0.0,3.05,-41
2026-08-07T13:53:55,1109389,2.75,1.03,0.0,2.81,-39
2026-08-07T13:54:11,1125943,3.16,1.68,0.0,3.66,-33
2026-08-07T13:54:30,1144746,2.6,0.71,0.0,3.05,-37
2026-08-07T13:54:47,1161512,4.39,3.53,0.0,3.62,-31
2026-08-07T13:55:04,1178162,3.13,0.73,0.0,3.63,-35
2026-08-07T13:55:20,1194776,2.46,0.64,0.0,3.65,-40
2026-08-07T13:55:38,1212885,2.47,0.44,0.0,3.21,-39
2026-08-07T13:55:58,1231986,5.79,7.41,0.0,2.98,-28
2026-08-07T13:56:15,1249496,5.7,7.83,0.0,3.39,-30
2026-08-07T13:56:32,1266592,2.54,0.51,0.0,3.5,-43
2026-08-07T13:56:50,1284576,2.39,0.32,0.0,3.24,-38
2026-08-07T13:57:08,1302036,2.82,1.5,0.0,3.38,-39
2026-08-07T13:57:24,1318566,2.57,0.51,0.0,3.67,-38
2026-08-07T13:57:41,1335518,2.77,1.05,0.0,3.53,-38
2026-08-07T13:57:59,1353600,2.94,2.29,0.0,3.21,-24
2026-08-07T13:58:16,1370884,2.53,0.72,0.0,3.43,-33
2026-08-07T13:58:33,1387806,2.2,0.6,0.0,3.54,-34
2026-08-07T13:58:50,1404912,2.61,1.04,0.0,3.48,-37
2026-08-07T13:59:07,1421958,2.89,1.11,0.0,3.5,-27
2026-08-07T13:59:25,1439295,2.83,1.01,0.0,3.41,-30
2026-08-07T13:59:42,1456339,3.46,1.83,0.0,3.5,-56
2026-08-07T13:59:59,1473191,2.46,0.53,0.0,3.56,-36
2026-08-07T14:00:18,1492593,2.41,0.31,0.0,2.9,-35
2026-08-07T14:00:36,1510317,8.63,13.3,0.0,3.32,-42
2026-08-07T14:00:55,1529665,3.26,1.3,0.0,2.92,-26
2026-08-07T14:01:13,1547730,2.7,0.84,0.0,3.22,-32
2026-08-07T14:01:30,1564530,3.14,1.02,0.0,3.58,-47
2026-08-07T14:01:47,1581301,2.5,0.62,0.0,3.59,-41
2026-08-07T14:02:06,1600353,7.28,8.14,0.0,2.99,-48
2026-08-07T14:02:22,1616928,2.59,0.8,0.0,3.65,-45
2026-08-07T14:02:39,1633690,3.1,1.74,0.0,3.59,-43
2026-08-07T14:02:56,1650322,2.58,0.84,0.0,3.64,-41
2026-08-07T14:03:13,1666977,2.88,1.3,0.0,3.63,-43
2026-08-07T14:03:29,1683805,3.01,1.54,0.0,3.57,-38
2026-08-07T14:03:46,1700912,2.56,1.09,0.0,3.48,-31
2026-08-07T14:04:04,1718410,3.53,1.22,0.0,3.37,-26
2026-08-07T14:04:21,1735807,2.89,1.16,0.0,3.4,-32
2026-08-07T14:04:42,1756802,2.45,0.8,0.0,2.6,-27
2026-08-07T14:05:00,1774767,3.2,1.43,0.0,3.25,-39
2026-08-07T14:05:20,1794062,3.38,1.64,0.0,2.93,-30
2026-08-07T14:05:41,1815095,3.29,1.53,0.0,2.6,-34
2026-08-07T14:05:58,1832810,3.14,1.58,0.0,3.31,-18
2026-08-07T14:06:17,1851833,3.12,1.65,0.0,2.99,-34
